Date,Open,High,Low,Close,Volume,Change
2023-06-19,"25,850원","26,000원","24,950원","25,150원","1,112,228건",-2.71%
2023-06-20,"25,150원","25,300원","24,900원","24,950원","691,185건",-0.80%
2023-06-21,"24,900원","25,300원","24,300원","24,500원","1,204,996건",-1.80%
2023-06-22,"24,300원","24,700원","24,200원","24,450원","578,333건",-0.20%
2023-06-23,"24,300원","24,300원","23,500원","23,650원","1,195,624건",-3.27%
2023-06-26,"23,550원","24,100원","23,500원","23,850원","515,380건",0.85%
2023-06-27,"23,800원","24,200원","23,700원","24,150원","702,479건",1.26%
2023-06-28,"24,300원","24,350원","23,950원","24,150원","470,167건",0.00%
2023-06-29,"24,050원","24,250원","23,700원","23,750원","491,742건",-1.66%
2023-06-30,"24,000원","24,000원","23,500원","23,750원","477,461건",0.00%
2023-07-03,"23,850원","24,650원","23,850원","24,500원","846,281건",3.16%
2023-07-04,"24,400원","24,450원","23,700원","23,750원","846,382건",-3.06%
2023-07-05,"23,750원","24,000원","23,150원","23,250원","802,032건",-2.11%
2023-07-06,"23,100원","23,650원","22,600원","23,050원","1,215,918건",-0.86%
2023-07-07,"23,000원","23,050원","22,500원","22,850원","1,037,389건",-0.87%
2023-07-10,"22,700원","23,300원","22,500원","23,150원","965,777건",1.31%
2023-07-11,"23,350원","24,100원","23,300원","24,050원","1,136,518건",3.89%
2023-07-12,"24,100원","24,600원","23,850원","24,550원","984,651건",2.08%
2023-07-13,"24,800원","25,650원","24,600원","25,300원","1,756,316건",3.05%
2023-07-14,"25,550원","26,000원","25,450원","25,700원","1,320,095건",1.58%
2023-07-17,"25,300원","26,050원","25,150원","25,950원","1,082,613건",0.97%
2023-07-18,"26,000원","26,050원","25,500원","25,600원","614,541건",-1.35%
2023-07-19,"25,900원","26,100원","25,250원","25,500원","598,623건",-0.39%
2023-07-20,"25,200원","26,000원","25,200원","25,450원","592,545건",-0.20%
2023-07-21,"25,200원","25,700원","25,150원","25,700원","573,631건",0.98%
2023-07-24,"25,650원","25,650원","24,600원","24,800원","1,031,344건",-3.50%
2023-07-25,"24,650원","24,800원","23,900원","24,050원","1,235,123건",-3.02%
2023-07-26,"23,900원","24,300원","23,250원","24,100원","1,561,184건",0.21%
2023-07-27,"23,900원","25,700원","23,900원","25,700원","1,664,239건",6.64%
2023-07-28,"25,650원","25,950원","25,250원","25,300원","828,272건",-1.56%
2023-07-31,"25,400원","26,150원","25,150원","26,000원","1,006,257건",2.77%
2023-08-01,"26,000원","29,650원","25,950원","29,650원","11,636,331건",14.04%
2023-08-02,"30,150원","30,500원","27,750원","28,100원","6,048,523건",-5.23%
2023-08-03,"27,900원","29,100원","27,850원","28,350원","3,990,762건",0.89%
2023-08-04,"28,250원","28,950원","27,950원","28,700원","1,858,396건",1.23%
2023-08-07,"28,500원","29,200원","28,450원","28,750원","1,826,564건",0.17%
2023-08-08,"28,950원","29,550원","28,100원","28,300원","1,806,953건",-1.57%
2023-08-09,"27,900원","28,500원","27,750원","28,050원","1,017,248건",-0.88%
2023-08-10,"27,700원","27,800원","27,300원","27,750원","1,125,838건",-1.07%
2023-08-11,"27,650원","28,050원","27,550원","27,600원","1,061,949건",-0.54%
2023-08-14,"27,450원","27,900원","27,000원","27,100원","757,808건",-1.81%
2023-08-16,"26,700원","27,050원","26,400원","26,600원","1,024,907건",-1.85%
2023-08-17,"26,350원","26,600원","25,750원","25,850원","983,124건",-2.82%
2023-08-18,"25,600원","25,850원","25,250원","25,600원","836,549건",-0.97%
2023-08-21,"25,850원","26,100원","25,500원","25,650원","631,578건",0.20%
2023-08-22,"25,750원","25,950원","25,500원","25,550원","523,016건",-0.39%
2023-08-23,"25,200원","25,750원","25,050원","25,600원","604,605건",0.20%
2023-08-24,"25,750원","25,900원","24,850원","25,000원","1,274,064건",-2.34%
2023-08-25,"24,550원","24,750원","24,300원","24,450원","801,046건",-2.20%
2023-08-28,"24,450원","24,750원","24,400원","24,600원","602,819건",0.61%
2023-08-29,"24,600원","24,950원","24,600원","24,750원","427,407건",0.61%
2023-08-30,"25,050원","25,900원","25,050원","25,850원","1,125,488건",4.44%
2023-08-31,"25,900원","26,350원","25,500원","26,350원","1,192,751건",1.93%
2023-09-01,"26,050원","26,200원","25,600원","25,600원","666,436건",-2.85%
2023-09-04,"25,500원","26,300원","25,450원","25,850원","719,937건",0.98%
2023-09-05,"25,600원","25,950원","25,300원","25,700원","528,494건",-0.58%
2023-09-06,"25,550원","25,850원","25,450원","25,750원","401,670건",0.19%
2023-09-07,"25,400원","25,550원","24,950원","25,100원","941,644건",-2.52%
2023-09-08,"24,900원","25,450원","24,850원","24,950원","665,751건",-0.60%
2023-09-11,"24,950원","25,050원","24,500원","24,700원","686,369건",-1.00%
2023-09-12,"24,850원","25,150원","24,500원","24,650원","632,627건",-0.20%
2023-09-13,"24,600원","24,900원","24,450원","24,750원","585,767건",0.41%
2023-09-14,"24,950원","25,050원","24,500원","25,050원","812,471건",1.21%
2023-09-15,"24,950원","26,750원","24,950원","26,050원","2,046,510건",3.99%
2023-09-18,"26,000원","26,000원","25,000원","25,050원","1,275,182건",-3.84%
2023-09-19,"25,050원","25,450원","24,750원","25,050원","833,876건",0.00%
2023-09-20,"24,850원","25,200원","24,850원","25,100원","537,935건",0.20%
2023-09-21,"24,900원","24,950원","24,000원","24,000원","1,264,170건",-4.38%
2023-09-22,"23,700원","23,900원","23,500원","23,750원","589,282건",-1.04%
2023-09-25,"23,800원","23,900원","23,500원","23,750원","535,194건",0.00%
2023-09-26,"23,600원","23,900원","22,750원","22,800원","988,887건",-4.00%
2023-09-27,"22,850원","23,500원","22,850원","23,350원","605,097건",2.41%
2023-10-04,"22,950원","23,050원","22,500원","22,600원","774,453건",-3.21%
2023-10-05,"22,850원","23,100원","22,550원","22,700원","521,482건",0.44%
2023-10-06,"22,600원","23,350원","22,600원","23,200원","384,621건",2.20%
2023-10-10,"23,900원","24,050원","23,200원","23,400원","693,911건",0.86%
2023-10-11,"23,500원","24,050원","23,450원","23,850원","643,071건",1.92%
2023-10-12,"24,200원","24,250원","23,600원","24,150원","624,601건",1.26%
2023-10-13,"23,800원","23,800원","23,200원","23,250원","511,833건",-3.73%
2023-10-16,"23,100원","23,350원","22,900원","23,150원","490,214건",-0.43%
2023-10-17,"23,500원","23,600원","22,950원","22,950원","380,051건",-0.86%
2023-10-18,"22,900원","23,300원","22,900원","22,900원","318,222건",-0.22%
2023-10-19,"22,650원","23,100원","22,450원","22,950원","612,973건",0.22%
2023-10-20,"22,600원","22,650원","21,200원","21,800원","1,375,693건",-5.01%
2023-10-23,"21,200원","21,600원","20,850원","20,950원","1,354,076건",-3.90%
2023-10-24,"21,000원","21,250원","20,050원","20,950원","1,479,091건",0.00%
2023-10-25,"21,000원","21,350원","20,350원","20,450원","1,106,423건",-2.39%
2023-10-26,"19,950원","20,250원","19,510원","19,510원","1,323,705건",-4.60%
2023-10-27,"19,500원","19,690원","18,110원","18,780원","2,686,366건",-3.74%
2023-10-30,"18,550원","18,840원","18,200원","18,460원","1,630,760건",-1.70%
2023-10-31,"18,580원","18,820원","17,970원","18,160원","1,452,739건",-1.63%
2023-11-01,"18,160원","18,900원","18,100원","18,760원","1,372,606건",3.30%
2023-11-02,"19,020원","20,750원","19,020원","20,300원","2,313,634건",8.21%
2023-11-03,"20,700원","21,500원","20,350원","21,100원","1,252,204건",3.94%
2023-11-06,"22,450원","24,750원","22,250원","24,600원","4,255,042건",16.59%
2023-11-07,"24,300원","24,300원","22,750원","22,850원","1,962,792건",-7.11%
2023-11-08,"23,800원","24,200원","22,800원","23,000원","2,033,535건",0.66%
2023-11-09,"22,650원","24,500원","22,600원","24,050원","2,654,666건",4.57%
2023-11-10,"23,600원","23,750원","22,950원","22,950원","969,618건",-4.57%
2023-11-13,"23,350원","23,500원","23,050원","23,250원","652,602건",1.31%
2023-11-14,"23,450원","23,800원","23,100원","23,450원","776,621건",0.86%
2023-11-15,"23,950원","24,400원","23,650원","24,350원","1,397,420건",3.84%
2023-11-16,"24,100원","24,350원","23,750원","24,350원","545,498건",0.00%
2023-11-17,"24,200원","24,450원","23,350원","23,700원","581,807건",-2.67%
2023-11-20,"23,650원","24,100원","23,300원","23,900원","588,247건",0.84%
2023-11-21,"24,100원","26,750원","24,050원","26,000원","6,552,880건",8.79%
